"Nazwa_ogłoszenia","Cena","Cena_za_metr","Liczba_pokoi","Powierzchnia","Osiedle","Dzielnica","Forma_własności","Stan","Piętro","Balkon_taras_ogródek","Czynsz","Miejsce_parkingowe","Ogrzewanie","Rynek","Typ_ogłoszeniodawcy","Rok_budowy","Rodzaj_zabudowy","Okna","Winda","Zabezpieczenia","Informacje_dodatkowe"
"Kawalerka z KLIMATYZACJĄ",399000,13300,1,30,"Stare Włochy","Włochy","pełna własność","do zamieszkania","3/4",NA,NA,NA,"miejskie",NA,"biuro nieruchomości",NA,NA,NA,"tak","domofon / wideofon, monitoring / ochrona","klimatyzacja, piwnica"
"2 pokoje▪️balkon▪️garaż▪️przy Hali Mirowskiej",1200000,18605,2,64.5,"Czyste","Wola","pełna własność","do zamieszkania","5/6","balkon","1 000 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",1999,"apartamentowiec",NA,"tak","teren zamknięty, domofon / wideofon","inny"
"Mieszkanie, 23,39 m², Warszawa",365000,15605,1,23.39,"Szczęśliwice","Ochota","pełna własność",NA,"2/4",NA,"644 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2016,"apartamentowiec",NA,"tak","monitoring / ochrona","meble"
"Wykończony, idealny dla inwestora z parkingiem",396585,15863,1,25,"Raków","Włochy","pełna własność","do zamieszkania","6/7",NA,NA,NA,"miejskie","wtórny","biuro nieruchomości",2023,NA,NA,"tak","system alarmowy, monitoring / ochrona","1"
"Wykończony, idealny dla inwestora 2 pokojowy",465900,14118,2,33,"Raków","Włochy","pełna własność","do zamieszkania","5/7",NA,NA,NA,"miejskie","wtórny","biuro nieruchomości",2023,NA,NA,"tak","system alarmowy, monitoring / ochrona",".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}2"
"Okazja !!! Mieszkanie na Pradze Południe 50,77 m2",699900,13805,2,50.7,"Grochów","Praga-Południe",NA,"do zamieszkania","7/19","balkon","650 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",1982,"blok",NA,"tak",NA,"żelbet"
"Mieszkanie, 47 m², Warszawa",780000,16596,2,47,"Natolin","Ursynów","pełna własność",NA,"parter/4","balkon, ogródek",NA,NA,NA,"wtórny","biuro nieruchomości",2001,"blok",NA,"nie",NA,"inny"
"Oddanie 2023/idealne pod inwestycje",881000,19513,2,45.15,"Kabaty","Ursynów","pełna własność",NA,"2/5","balkon, taras",NA,"garaż/miejsce parkingowe","miejskie","pierwotny","biuro nieruchomości",2023,"blok",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona, rolety antywłamaniowe","cegła"
"Nowy kredyt / rozkładowe .dobra komunikacja",679000,13945,2,48.69,"Gocławek","Praga-Południe","pełna własność",NA,"4/5","balkon",NA,NA,"miejskie","pierwotny","biuro nieruchomości",2025,"blok",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"Eleganckie Mieszkanie na Osiedlu Bliska Wola",540000,25937,1,20.82,"Odolany","Wola",NA,"do zamieszkania","3/10",NA,NA,NA,"miejskie","wtórny","biuro nieruchomości",NA,"apartamentowiec",NA,"tak","system alarmowy, monitoring / ochrona","1"
"2 pokoje Ochota -50m ul. Korotyńskiego",780000,15600,2,50,"Szczęśliwice","Ochota",NA,"do zamieszkania","9/12","balkon","660 zł",NA,"miejskie","wtórny","biuro nieruchomości",1977,"blok",NA,"tak",NA,"wielka płyta"
"Mieszkanie 2-pokojowe, 2 ogródki",635000,12700,2,50,"Nowodwory","Białołęka","pełna własność","do zamieszkania","parter/3",NA,"650 zł",NA,"miejskie","wtórny","biuro nieruchomości",2006,"apartamentowiec",NA,"nie",NA,"cegła"
"Solec | 2 pokoje | Super lokalizacja",695000,18289,2,38,"Solec","Śródmieście",NA,NA,"4/10","balkon","751 zł",NA,NA,"wtórny","biuro nieruchomości",1966,"blok",NA,"tak",NA,"piwnica"
"Mieszkanie, 72 m², Warszawa",1200000,16667,3,72,"Marymont-Potok","Żoliborz",NA,NA,"10/12",NA,"850 zł",NA,NA,"wtórny","biuro nieruchomości",1980,NA,NA,"nie",NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}3"
"Duże 3-pokojowe mieszkanie na Pradze-Północ",1480000,16818,3,88,"Nowa Praga","Praga-Północ","pełna własność","do wykończenia","2/4","balkon","1 200 zł",NA,"miejskie","wtórny","biuro nieruchomości",1933,"kamienica",NA,"nie","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","inny"
"Apartament 4-pok. | garaż | Metro Dw. Wileński",1899000,16513,4,115,"Stara Praga","Praga-Północ","pełna własność","do zamieszkania","1/6","balkon, taras","1 300 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2006,"apartamentowiec",NA,"tak","monitoring / ochrona","meble"
"⭐Urokliwe Mieszkanie na Powiślu⭐",725000,19328,2,37.51,"Solec","Śródmieście",NA,NA,"4/10",NA,"751 zł",NA,NA,"wtórny","biuro nieruchomości",1966,"blok",NA,"tak",NA,"oddzielna kuchnia"
"Na sprzedaż 2-pokojowe mieszkanie Wola",780000,16596,2,47,"Młynów","Wola","pełna własność",NA,"1/6",NA,NA,NA,NA,"wtórny","biuro nieruchomości",1953,"kamienica",NA,"tak","domofon / wideofon","cegła"
"Dwupokojowe mieszkanie na Bielanach",919000,18091,2,50.8,"Chomiczówka","Bielany","pełna własność",NA,"1/6","balkon",NA,"garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2019,"blok",NA,"tak",NA,"drewniane"
"Bez Prowizji Przestronny apartament",1016899,14889,3,68.3,"Pelcowizna","Praga-Północ","pełna własność",NA,"1/7","balkon",NA,"garaż/miejsce parkingowe",NA,"pierwotny","biuro nieruchomości",2024,NA,NA,"tak",NA,"dom wolnostojący"
"Poddasze 120M2 Do Adaptacji/ Metro 5min/ Stan Dew.",1599000,12690,5,126,"Zacisze","Targówek",NA,NA,"1/1",NA,NA,NA,NA,"wtórny","biuro nieruchomości",2017,NA,NA,"nie",NA,"2023-05-13"
"✅ M3 z balkonem w super lokalizacji! Z NAJEMCĄ.",997650,13500,3,73.9,"Sadyba","Mokotów","pełna własność",NA,"1/4","balkon",NA,"garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",NA,"kamienica",NA,"nie","domofon / wideofon, monitoring / ochrona","oddzielna kuchnia"
"Mieszkanie 3 pokojowe - rozkładowe - po remoncie",780000,14182,3,55,"Szmulowizna","Praga-Północ",NA,"do zamieszkania","parter/4",NA,"750 zł",NA,"miejskie","wtórny","biuro nieruchomości",1973,"blok",NA,"nie","domofon / wideofon","wielka płyta"
"Dwa pokoje z pięknym widokiem na Woli",750000,22059,2,34,"Odolany","Wola","pełna własność","do zamieszkania","9/10","balkon",NA,"garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2016,"blok",NA,"tak",NA,"beton komórkowy"
"Słoneczne 3 pokoje ogródek 40m garaż",959000,14984,3,64,"Szamoty","Ursus",NA,"do zamieszkania","parter/5","ogródek","740 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2023,"apartamentowiec",NA,"tak",NA,"cegła"
"Apartamenty inwestycyjne| zwrot 23%vat",535000,16914,2,31.63,"Pyry","Ursynów","pełna własność","do wykończenia","3/4","balkon",NA,"garaż/miejsce parkingowe","miejskie","pierwotny","biuro nieruchomości",2023,"blok",NA,"tak",NA,"silikat"
"Mieszkanie 2 pokoje metro Wileńska",740000,15745,2,47,"Nowa Praga","Praga-Północ","pełna własność","do zamieszkania","1/4","balkon","800 zł",NA,"miejskie","wtórny","biuro nieruchomości",1968,"kamienica",NA,"nie","drzwi / okna antywłamaniowe, domofon / wideofon","cegła"
"14 wykończonych mieszkań- jedno piętro! Powiśle",5490000,14485,10,379,"Śródmieście Południowe","Śródmieście",NA,"do zamieszkania",NA,NA,NA,NA,NA,"wtórny","biuro nieruchomości",NA,"apartamentowiec",NA,"nie",NA,"1"
"Przedsprzedaż! Segment w cenie mieszkania!",1554000,10500,4,148,"Targówek Mieszkaniowy","Targówek",NA,"do wykończenia",NA,NA,NA,"garaż/miejsce parkingowe",NA,"pierwotny","biuro nieruchomości",2023,NA,NA,"nie","system alarmowy, monitoring / ochrona, domofon / wideofon","silikat"
"Art deco kamienica- 7m wysokości- FV 8%",3349000,24993,3,134,"Czyste","Wola",NA,"do zamieszkania","parter/4","taras, balkon, ogródek",NA,"garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",NA,"kamienica",NA,"tak",NA,"klimatyzacja"
"Mieszkanie na sprzedaż Ursynów Kabaty",2800000,14213,5,197,"Kabaty","Ursynów",NA,"do wykończenia","4/4","balkon",NA,"garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",1996,"apartamentowiec",NA,"nie",NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}5"
"Ekskluzywne 3-pokojowe mieszkanie- 67m2",1106000,16594,3,66.65,"Wyczółki","Ursynów","pełna własność","do zamieszkania","6/6","balkon","1 100 zł","garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",2018,"apartamentowiec",NA,"tak","domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble"
"Unikatowy Penthouse 173 m2 + 2 tarasy na dachu!",5170000,29884,4,173,"Grochów","Praga-Południe",NA,"do zamieszkania","6/6","taras",NA,"garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2012,"apartamentowiec",NA,"tak","system alarmowy, monitoring / ochrona, domofon / wideofon","inny"
"Ekskluzywne 3-pokojowe mieszkanie- 67m2",1106000,16594,3,66.65,"Wyczółki","Ursynów","pełna własność","do zamieszkania","6/6","balkon","1 100 zł","garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",2018,"apartamentowiec",NA,"tak","domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble"
"Mieszkanie do remontu/1piętro/balkon/parking",830000,12421,4,66.82,"Służew","Mokotów","pełna własność","do remontu","1/4","balkon","900 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",1974,"blok",NA,"nie","domofon / wideofon","cegła"
"3-pokojowe mieszkanie 64m2 + balkon",1278684,19800,3,64.58,"Siekierki","Mokotów","pełna własność","do wykończenia","2/2","balkon",NA,"garaż/miejsce parkingowe",NA,NA,NA,NA,NA,NA,NA,NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}3"
"Dwupoziomowe mieszkanie z potencjałem",1250000,10000,5,125,"Gocławek","Praga-Południe",NA,"do remontu","2/3","balkon","1 600 zł",NA,NA,"wtórny","biuro nieruchomości",NA,"blok",NA,"nie",NA,"piwnica, oddzielna kuchnia"
"Apartament z dużym ogrodem",1995000,14778,5,135,"Grodzisk","Białołęka","pełna własność","do wykończenia","parter/4","ogródek, taras","1 800 zł","garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",2010,NA,NA,"tak","teren zamknięty, domofon / wideofon, monitoring / ochrona","piwnica"
"kawalerka z możliwością drugiego pomieszczenia",729000,21180,1,34.42,"Służewiec","Mokotów","pełna własność","do zamieszkania","1/8",NA,NA,NA,NA,"wtórny","biuro nieruchomości",2022,NA,NA,"nie",NA,"drewniane"
"Wysoki Standard / Ogródek 30 m2 / Garaż",1599999,32000,3,50,"Błonia Wilanowskie","Wilanów","pełna własność","do zamieszkania","parter/1","ogródek, taras",NA,"garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2016,"apartamentowiec",NA,"tak","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","zmywarka, lodówka, meble, piekarnik, kuchenka, telewizor, pralka"
"Metro Wilsona/Balkon 5 m2/Winda/Narożne",1199999,23529,4,51,"Sady Żoliborskie","Żoliborz","pełna własność","do zamieszkania","2/4","balkon",NA,"garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",1968,"kamienica",NA,"tak","drzwi / okna antywłamaniowe, domofon / wideofon, monitoring / ochrona","cegła"
"2 pokoje w pobliżu metra Stokłosy!",739000,14519,2,50.9,"Ursynów Północny","Ursynów",NA,"do zamieszkania","3/10","balkon",NA,NA,"miejskie","wtórny","biuro nieruchomości",1980,"blok",NA,"tak",NA,"wielka płyta"
"Mokotów, Stegny, 46,4 m2, 3 pokoje, 1974 r.",730000,15665,3,46.6,"Wierzbno","Mokotów","pełna własność",NA,"4/5","balkon","750 zł",NA,NA,"wtórny","biuro nieruchomości",1974,"blok",NA,"nie",NA,"piwnica"
"Dostępne w tym roku, 2 pokoje, ostatnie piętro",555000,14605,2,38,"Szamoty","Ursus",NA,"do wykończenia","7/7","balkon",NA,"garaż/miejsce parkingowe","miejskie","pierwotny","biuro nieruchomości",2023,"blok",NA,"tak","teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"Nowoczesny - zrobiony pod klucz - Marzec 2024",2895000,27837,4,104,"Czyste","Wola","pełna własność","do zamieszkania","4/8","balkon","1 100 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2023,"apartamentowiec",NA,"tak","system alarmowy, drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","klimatyzacja, pom. użytkowe"
"Bez Prowizji Przestronny apartament z pięknym wido",694400,12907,2,53.8,"Nowodwory","Białołęka","pełna własność",NA,"2/3","balkon",NA,"garaż/miejsce parkingowe",NA,"pierwotny","biuro nieruchomości",2023,"blok",NA,"tak",NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}2"
"W nowym, gotowe do aranżacji, duży ogródek.",799000,15365,2,52,"Wyczółki","Ursynów","pełna własność","do wykończenia","parter/5","ogródek","550 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2022,"apartamentowiec",NA,"tak",NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}2"
"Na sprzedaż nowe mieszkanie przy ul. Grzybowskiej",989000,28257,2,35,"Mirów","Wola",NA,NA,"1/16",NA,NA,NA,NA,"pierwotny","biuro nieruchomości",NA,"apartamentowiec",NA,"nie",NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}2"
"Nowe, 2 pokoje, urządzone pod klucz! Garaż!!",699000,15933,2,43.87,"Tarchomin","Białołęka","pełna własność","do zamieszkania","1/6","balkon","500 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",2023,"apartamentowiec",NA,"tak","domofon / wideofon","internet"
"Kamienica na Starym Żoliborzu!",1850283,23850,3,77.58,"Stary Żoliborz","Żoliborz","pełna własność","do zamieszkania","2/4",NA,"830 zł",NA,NA,"wtórny","biuro nieruchomości",1938,"kamienica",NA,"tak",NA,"cegła"
"Mieszkanie na sprzedaż, Warszawa, Rembertów, Stary",1250000,12887,3,97,"Stary Rembertów","Rembertów","pełna własność","do zamieszkania","parter/1","ogródek",NA,"garaż/miejsce parkingowe","gazowe","wtórny","biuro nieruchomości",2004,NA,NA,"nie",NA,"pustak"
"3/4 pokojowe/niska zabudowa/zielone osiedle",975000,10992,3,88.7,"Grodzisk","Białołęka",NA,NA,"1/2",NA,"850 zł","garaż/miejsce parkingowe",NA,"wtórny","biuro nieruchomości",2008,"blok",NA,"tak","system alarmowy, monitoring / ochrona, domofon / wideofon",".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}3"
"Tylko u nas! 4 pokoje na nowoczesnym osiedlu!",820000,11247,4,72.91,"Brzeziny","Białołęka",NA,"do zamieszkania","2/6",NA,"1 193 zł",NA,"miejskie","wtórny","biuro nieruchomości",2016,"blok",NA,"tak","domofon / wideofon","2023-09-17"
"Dwupokojowe mieszkanie w Śródmieściu (58 mkw)",1150000,19828,2,58,"Śródmieście Południowe","Śródmieście",NA,"do zamieszkania","7/8","balkon","800 zł",NA,"miejskie","wtórny","biuro nieruchomości",1989,"blok",NA,"tak","domofon / wideofon","inny"
"Niezwykłe mieszkanie, idealna lokalizacja - 52m2",587664,11200,3,52.47,"Grodzisk","Białołęka",NA,NA,"2/2","balkon",NA,"garaż/miejsce parkingowe","miejskie","pierwotny","biuro nieruchomości",2024,"blok",NA,"nie","drzwi / okna antywłamaniowe, teren zamknięty, domofon / wideofon, monitoring / ochrona","cegła"
"2 pokoje▪️balkon▪️do remontu",590000,12041,2,49,"Nowodwory","Białołęka","pełna własność","do zamieszkania","1/6","balkon","600 zł","garaż/miejsce parkingowe","miejskie","wtórny","biuro nieruchomości",NA,"blok",NA,"tak","domofon / wideofon","inny"
"2-pokojowe mieszkanie 44m2 + 2 balkony",930796,20950,2,44.43,"Sielce","Mokotów","pełna własność","do wykończenia","2/5","balkon",NA,"garaż/miejsce parkingowe",NA,NA,NA,NA,NA,NA,NA,NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}2"
"2-pokojowe mieszkanie 34m2 + balkon",751882,21800,2,34.49,"Sielce","Mokotów","pełna własność","do wykończenia","1/5","balkon",NA,"garaż/miejsce parkingowe",NA,NA,NA,NA,NA,NA,NA,NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}2"
"2-pokojowe mieszkanie 44m2 + 2 balkony",941903,21200,2,44.43,"Sielce","Mokotów","pełna własność","do wykończenia","3/5","balkon",NA,"garaż/miejsce parkingowe",NA,NA,NA,NA,NA,NA,NA,NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}2"
"2-pokojowe mieszkanie 35m2 + 2 balkony",791363,22450,2,35.25,"Sielce","Mokotów","pełna własność","do wykończenia","4/5","balkon",NA,"garaż/miejsce parkingowe",NA,NA,NA,NA,NA,NA,NA,NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}2"
"2-pokojowe mieszkanie 44m2 + 2 balkony",953011,21450,2,44.43,"Sielce","Mokotów","pełna własność","do wykończenia","4/5","balkon",NA,"garaż/miejsce parkingowe",NA,NA,NA,NA,NA,NA,NA,NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}2"
"2-pokojowe mieszkanie 44m2 + 2 balkony",919688,20700,2,44.43,"Sielce","Mokotów","pełna własność","do wykończenia","1/5","balkon",NA,"garaż/miejsce parkingowe",NA,NA,NA,NA,NA,NA,NA,NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}2"
"2-pokojowe mieszkanie 34m2 + balkon",760505,22050,2,34.49,"Sielce","Mokotów","pełna własność","do wykończenia","2/5","balkon",NA,"garaż/miejsce parkingowe",NA,NA,NA,NA,NA,NA,NA,NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}2"
"3-pokojowe mieszkanie 59m2 + 3 balkony",1315460,22127,3,59.45,"Sielce","Mokotów","pełna własność","do wykończenia","3/5","balkon",NA,"garaż/miejsce parkingowe",NA,NA,NA,NA,NA,NA,NA,NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}3"
"2-pokojowe mieszkanie 43m2 + balkon Bez Prowizji",905013,20925,2,43.25,"Sielce","Mokotów","pełna własność","do wykończenia","2/5","balkon",NA,"garaż/miejsce parkingowe",NA,NA,NA,NA,NA,NA,NA,NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}2"
"3-pokojowe mieszkanie 59m2 + 3 balkony",1300598,21877,3,59.45,"Sielce","Mokotów","pełna własność","do wykończenia","2/5","balkon",NA,"garaż/miejsce parkingowe",NA,NA,NA,NA,NA,NA,NA,NA,".css-19yhkv9{color:inherit;-webkit-text-decoration:none;text-decoration:none;}.css-19yhkv9:hover{-webkit-text-decoration:underline;text-decoration:underline;}3"
